id,question,optionA,optionB,optionC,optionD,answer,topic
35,PUT מול PATCH?,PUT מחליף מסמך, PATCH מעדכן חלק,PUT תמיד מהיר,PATCH מוחק,אין הבדל,A,API
36,למה קוד נקי?,שהמשתמש יבין,תחזוקה והרחבה על ידי מפתחים,קטנת bundle,להוסיף JWT,B,Craft
37,למה Controllers/Routes/Models?,הפרדת אחריות וסדר,להקטין קוד,לאפשר JWT,להחליף MongoDB,A,Architecture
38,למה Morgan/Logger?,להציג קריאות HTTP ל־Debug,להצפין נתונים,להחליף bcrypt,לנהל state,A,Ops
39,מהו seed?,נתוני דמו לבדיקות,הצפנת JWT,ניהול הרשאות,עיצוב טפסים,A,DB
40,למה GitHub?,גרסאות קוד ועבודה בצוות,הצפנת סיסמאות,ניהול state,עדכון Token,A,Ops
41,למה Virtual DOM מהיר?,דיפרנציאציה ועדכון מינימלי ל־DOM,כי הוא בענן,כי הוא ב־C,כי הוא ב־WebAssembly,A,React
42,יתרון useReducer לסטייט מורכב?,ניהול עם actions ו־reducer,פחות זיכרון תמיד,מהיר מכל דבר,לא דורש טיפוסים,A,React
43,יתרון React Router?,ניווט SPA עם URLs,החלפת Redux,אבטחת JWT,הצפנת DB,A,React
44,למה לאפס טוקן אחרי X שעות?,הקטנת סיכון שימוש לרעה,שיפור ביצועי DB,כדי לאפשר CORS,כדי להחליף Logger,A,Security
45,Session מול JWT?,Session בשרת, JWT סטייטלס בלקוח,שניהם זהים,JWT תמיד מוצפן,Session תמיד לא מאובטח,A,Auth
46,איך Redux משתלב?,סטייט גלובלי מחוץ לרכיבים,מחליף לגמרי את Express,DB חלופי,ספריית CSS,A,State
47,למה MongoDB לפרויקט כזה?,גמישות סכמות ו־JSON דמוי,תמיד מהיר מ־SQL,כי אין טרנזקציות,כי React דורש,A,DB
48,מהי CSRF והגנה?,בקשות מזויפות; הגנה ב־SameSite/CSRF Token,הזרקת JS; CSP בלבד,הצפנת JWT,שימוש ב־Redux,A,Security
49,למה לא console.log בפרודקשן?,לוגים מזהמים/דליפות; עדיף structured logging,כי אסור תקנית,כי מאט SSR תמיד,כי שובר React,A,Ops
50,איך לממש Search יעיל גדול?,אינדקסים, סינון, pagination, Atlas Search,Regex בלי אינדקס,להביא הכל לזיכרון,ללא Pagination,A,DB

